author,poem name,age,type,question
EDMUND SPENSER,from The Shepheardes Calender: April,Renaissance,Nature,"Soone as my younglings cryen for the dam,
To her will I offer a milkwhite Lamb:
         Shee is my goddesse plaine,
         And I her shepherds swayne,
Albee forswonck and forswatt I am."
D. H. LAWRENCE,Last Words to Miriam,Modern,Love,"You yielded, we threw the last cast,
And it was no good.
You only endured, and it broke
My craftsman's nerve.
No flesh responded to my stroke;"
EDMUND SPENSER,"Amoretti LXXXI: Fayre is my love, when her fayre golden heares",Renaissance,Love,"Throgh which her words so wise do make their way
To beare the message of her gentle spright.
The rest be works of natures wonderment,
But this the worke of harts astonishment."
WILLIAM SHAKESPEARE,Sonnet 3: Look in thy glass and tell the face thou viewest,Renaissance,Love,"So thou through windows of thine age shalt see,
Despite of wrinkles, this thy golden time.
    But if thou live remembred not to be,
    Die single, and thine image dies with thee."
EDMUND SPENSER,An Hymn In Honour Of Beauty,Renaissance,Love,"And beautify this sacred hymn of thine:
That both to thee, to whom I mean it most,
And eke to her, whose fair immortal beam
Hath darted fire into my feeble ghost,
That now it wasted is with woes extreme,"
WALLACE STEVENS,Nomad Exquisite,Modern,Nature,"Meet for the eye of the young alligator,
And lightning colors
So, in me, come flinging
Forms, flames, and the flakes of flames."
EDMUND SPENSER,Epithalamion,Renaissance,Mythology & Folklore,"The pipe, the tabor, and the trembling Croud,
That well agree withouten breach or jar.
But most of all the Damzels doe delite,
When they their tymbrels smyte,
And thereunto doe daunce and carrol sweet,"
EDMUND SPENSER,Prothalamion,Renaissance,Nature,"Even as their bridal day, which was not long:
      Sweet Thames, run softly, till I end my song.
Then forth they all out of their baskets drew
Great store of flowers, the honour of the field,
That to the sense did fragrant odours yield,"
EZRA POUND,The Seafarer,Modern,Nature,"All this admonisheth man eager of mood,
The heart turns to travel so that he then thinks
On flood-ways to be far departing.
Cuckoo calleth with gloomy crying,
He singeth summerward, bodeth sorrow,"
EDMUND SPENSER,Epithalamion,Renaissance,Mythology & Folklore,"Why stand ye still ye virgins in amaze,
Upon her so to gaze,
Whiles ye forget your former lay to sing,
To which the woods did answer and your eccho ring.
But if ye saw that which no eyes can see,"
D. H. LAWRENCE,Tortoise Shout,Modern,Love,"On wild dark lips.
And more than all these,
And less than all these,
This last,
Strange, faint coition yell"
JOHN SKELTON,The Book of Phillip Sparrow,Renaissance,Mythology & Folklore,"And for all sparowes soules,
Set in our bederolles,
Pater noster qui,
With an Ave Mari,
And with the corner of a Crede,"
MARJORIE PICKTHALL,Adam and Eve,Modern,Love,"Beauty fasted their hands together
And cooled them at her stream.
And when day wearied and night grew stronger,
And they slept as the beautiful must,
Then she bided a little longer,"
WILLIAM SHAKESPEARE,from The Rape of Lucrece,Renaissance,Love,"She, much amazed, breaks ope her locked-up eyes,
Who, peeping forth this tumult to behold,
Are by his flaming torch dimmed and controlled.
Imagine her as one in dead of night
From forth dull sleep by dreadful fancy waking,"
SIR WALTER RALEGH,"[Fortune Hath Taken Thee Away, My Love]",Renaissance,Love,"In vain you search the earth and heaven above,
In vain you search, for fortune rules in love.
Thus now I leave my love in fortunes hands,
Thus now I leave my love in fortunes bands,
And only love the sorrows due to me;"
GEORGE SANTAYANA,To. W. P.,Modern,Nature,"Untainted to the gods. Why should we grieve,
But that we merit not your holy death?
We shall not loiter long, your friends and I;
Living you made it goodlier to live,
Dead you will make it easier to die."
EDMUND SPENSER,Prothalamion,Renaissance,Nature,"The rest so far as Cynthia doth shend
The lesser stars. So they, enranged well,
Did on those two attend,
And their best service lend,
Against their wedding day, which was not long:"
EDMUND SPENSER,from The Shepheardes Calender: October,Renaissance,Nature,"And girt in girlonds of wild Yvie twine,
How I could reare the Muse on stately stage,
And teache her tread aloft in buskin fine,
With queint Bellona in her equipage.
But ah my corage cooles ere it be warme,"
